round,player_move,ai_move,winner
416,1.0,2,AI
417,2.0,1,Player
418,1.0,1,Draw
419,1.0,2,AI
420,1.0,2,AI
421,2.0,1,Player
422,2.0,3,AI
423,1.0,3,Player
424,2.0,2,Draw
425,1.0,1,Draw
426,2.0,1,Player
427,1.0,3,Player
428,3.0,1,AI
429,2.0,1,Player
430,3.0,1,AI
431,1.0,3,Player
432,3.0,3,Draw
433,2.0,1,Player
434,2.0,3,AI
435,2.0,3,AI
436,2.0,1,Player
437,2.0,3,AI
438,2.0,1,Player
439,3.0,1,AI
440,2.0,2,Draw
441,3.0,1,AI
442,2.0,3,AI
443,1.0,1,Draw
444,3.0,1,AI
445,2.0,2,Draw
446,2.0,1,Player
447,2.0,3,AI
448,3.0,1,AI
449,3.0,1,AI
450,2.0,1,Player
451,2.0,1,Player
452,3.0,2,Player
453,2.0,1,Player
454,1.0,3,Player
455,3.0,3,Draw
456,3.0,1,AI
457,2.0,1,Player
458,2.0,3,AI
459,2.0,1,Player
460,3.0,3,Draw
461,2.0,3,AI
462,3.0,1,AI
463,3.0,2,Player
464,2.0,3,AI
465,2.0,1,Player
466,3.0,3,Draw
467,2.0,3,AI
468,2.0,3,AI
469,2.0,1,Player
470,2.0,3,AI
471,1.0,3,Player
472,3.0,3,Draw
473,3.0,3,Draw
474,1.0,3,Player
475,2.0,1,Player
476,1.0,1,Draw
477,2.0,3,AI
478,3.0,3,Draw
479,2.0,2,Draw
480,2.0,3,AI
481,1.0,3,Player
482,3.0,1,AI
483,2.0,3,AI
484,1.0,1,Draw
485,2.0,1,Player
486,3.0,1,AI
487,3.0,1,AI
488,3.0,1,AI
489,3.0,1,AI
490,2.0,1,Player
491,2.0,1,Player
492,2.0,3,AI
493,2.0,3,AI
494,2.0,2,Draw
495,2.0,2,Draw
496,2.0,1,Player
497,2.0,3,AI
498,3.0,2,Player
499,3.0,3,Draw
500,3.0,3,Draw
501,1.0,1,Draw
502,3.0,3,Draw
503,2.0,3,AI
504,2.0,1,Player
505,2.0,1,Player
506,1.0,3,Player
507,2.0,2,Draw
508,1.0,1,Draw
509,1.0,2,AI
510,1.0,1,Draw
511,2.0,2,Draw
512,2.0,1,Player
513,3.0,3,Draw
514,2.0,1,Player
515,2.0,3,AI
516,2.0,3,AI
517,1.0,3,Player
518,3.0,3,Draw
519,3.0,1,AI
520,1.0,1,Draw
521,2.0,3,AI
522,2.0,1,Player
523,2.0,1,Player
524,3.0,2,Player
525,1.0,2,AI
526,2.0,3,AI
527,2.0,1,Player
528,,3,AI
529,3.0,3,Draw
530,3.0,3,Draw
531,1.0,3,Player
532,1.0,2,AI
533,2.0,1,Player
534,2.0,1,Player
535,3.0,3,Draw
536,2.0,2,Draw
537,3.0,2,Player
538,2.0,3,AI
539,3.0,1,AI
540,2.0,3,AI
541,2.0,3,AI
542,1.0,3,Player
543,2.0,3,AI
544,1.0,3,Player
545,2.0,2,Draw
546,1.0,2,AI
547,1.0,3,Player
548,3.0,1,AI
549,3.0,3,Draw
550,3.0,3,Draw
551,2.0,2,Draw
552,3.0,3,Draw
553,1.0,2,AI
554,2.0,2,Draw
555,3.0,2,Player
556,1.0,1,Draw
557,1.0,1,Draw
558,1.0,1,Draw
559,2.0,1,Player
560,2.0,1,Player
561,1.0,2,AI
562,2.0,1,Player
563,3.0,3,Draw
564,3.0,3,Draw
565,3.0,1,AI
566,2.0,3,AI
567,,3,AI
568,3.0,3,Draw
569,1.0,3,Player
570,3.0,1,AI
571,3.0,2,Player
572,3.0,1,AI
573,2.0,1,Player
574,1.0,1,Draw
575,2.0,3,AI
576,1.0,3,Player
577,3.0,1,AI
578,1.0,2,AI
579,2.0,3,AI
580,2.0,1,Player
581,2.0,1,Player
582,2.0,3,AI
583,2.0,3,AI
584,2.0,1,Player
585,1.0,3,Player
586,1.0,2,AI
587,2.0,1,Player
588,1.0,3,Player
589,1.0,1,Draw
590,2.0,3,AI
591,1.0,3,Player
592,3.0,1,AI
593,3.0,1,AI
594,2.0,3,AI
595,2.0,2,Draw
596,3.0,3,Draw
597,2.0,3,AI
598,2.0,1,Player
599,3.0,3,Draw
600,3.0,3,Draw
601,2.0,1,Player
602,2.0,2,Draw
603,3.0,2,Player
604,1.0,3,Player
605,3.0,1,AI
606,2.0,3,AI
607,2.0,2,Draw
608,2.0,3,AI
609,1.0,1,Draw
610,1.0,3,Player
611,2.0,3,AI
612,,3,AI
613,2.0,1,Player
614,3.0,3,Draw
615,,1,AI
616,2.0,3,AI
617,3.0,1,AI
618,2.0,1,Player
619,2.0,1,Player
620,2.0,1,Player
621,3.0,1,AI
622,1.0,1,Draw
623,2.0,3,AI
624,1.0,3,Player
625,2.0,3,AI
626,1.0,2,AI
627,1.0,1,Draw
628,3.0,3,Draw
629,2.0,2,Draw
630,1.0,3,Player
631,2.0,3,AI
632,2.0,2,Draw
633,2.0,2,Draw
634,2.0,3,AI
635,2.0,1,Player
636,2.0,3,AI
637,2.0,1,Player
638,1.0,1,Draw
639,2.0,1,Player
640,3.0,1,AI
641,2.0,3,AI
642,2.0,3,AI
643,3.0,3,Draw
644,2.0,3,AI
645,3.0,3,Draw
646,1.0,1,Draw
647,2.0,1,Player
648,3.0,3,Draw
649,1.0,3,Player
650,1.0,1,Draw
651,3.0,1,AI
652,2.0,1,Player
653,2.0,2,Draw
654,,1,AI
655,3.0,3,Draw
656,1.0,1,Draw
657,3.0,2,Player
658,3.0,1,AI
659,3.0,1,AI
660,1.0,3,Player
661,2.0,1,Player
662,3.0,3,Draw
663,2.0,3,AI
664,2.0,3,AI
665,2.0,2,Draw
666,2.0,3,AI
667,3.0,3,Draw
668,3.0,2,Player
669,3.0,1,AI
670,3.0,1,AI
671,3.0,3,Draw
672,3.0,2,Player
673,2.0,1,Player
674,3.0,1,AI
675,3.0,3,Draw
676,2.0,1,Player
677,3.0,1,AI
678,1.0,3,Player
679,3.0,1,AI
680,,1,AI
681,3.0,3,Draw
682,3.0,1,AI
683,1.0,1,Draw
684,3.0,3,Draw
685,3.0,3,Draw
686,1.0,3,Player
687,2.0,1,Player
688,3.0,1,AI
689,1.0,3,Player
690,2.0,3,AI
691,3.0,3,Draw
692,3.0,3,Draw
693,2.0,2,Draw
694,1.0,1,Draw
695,2.0,2,Draw
696,1.0,1,Draw
697,3.0,1,AI
698,1.0,3,Player
699,2.0,3,AI
700,,2,AI
701,2.0,3,AI
702,1.0,3,Player
703,1.0,3,Player
704,1.0,2,AI
705,3.0,1,AI
706,2.0,1,Player
707,1.0,1,Draw
708,2.0,3,AI
709,3.0,3,Draw
710,2.0,2,Draw
711,2.0,3,AI
712,1.0,3,Player
713,3.0,3,Draw
714,2.0,1,Player
715,3.0,3,Draw
716,2.0,1,Player
717,1.0,1,Draw
718,3.0,1,AI
719,2.0,1,Player
720,3.0,2,Player
721,2.0,3,AI
722,2.0,1,Player
723,2.0,3,AI
724,2.0,2,Draw
725,3.0,1,AI
726,2.0,1,Player
727,1.0,1,Draw
728,3.0,3,Draw
729,2.0,3,AI
730,1.0,3,Player
731,3.0,1,AI
732,2.0,3,AI
733,3.0,2,Player
734,2.0,3,AI
735,2.0,2,Draw
736,2.0,1,Player
737,2.0,3,AI
738,2.0,3,AI
739,2.0,1,Player
740,3.0,2,Player
741,2.0,3,AI
742,3.0,3,Draw
743,2.0,2,Draw
744,3.0,3,Draw
745,1.0,2,AI
746,1.0,1,Draw
747,1.0,1,Draw
748,1.0,3,Player
749,1.0,1,Draw
750,3.0,1,AI
751,1.0,1,Draw
752,1.0,3,Player
753,3.0,3,Draw
754,1.0,3,Player
755,2.0,2,Draw
756,3.0,1,AI
757,2.0,2,Draw
758,3.0,1,AI
759,3.0,3,Draw
760,2.0,1,Player
761,3.0,3,Draw
762,1.0,1,Draw
763,1.0,3,Player
764,3.0,2,Player
765,3.0,3,Draw
766,1.0,3,Player
767,1.0,3,Player
768,3.0,1,AI
769,1.0,2,AI
770,1.0,2,AI
771,2.0,2,Draw
772,2.0,2,Draw
773,3.0,1,AI
774,1.0,3,Player
775,3.0,1,AI
776,2.0,3,AI
777,,1,AI
778,2.0,3,AI
779,1.0,2,AI
780,2.0,1,Player
781,2.0,3,AI
782,3.0,3,Draw
783,2.0,3,AI
784,1.0,1,Draw
785,3.0,1,AI
786,3.0,3,Draw
787,1.0,1,Draw
788,2.0,2,Draw
789,2.0,2,Draw
790,2.0,3,AI
791,3.0,1,AI
792,2.0,3,AI
793,3.0,1,AI
794,2.0,3,AI
795,1.0,1,Draw
796,1.0,1,Draw
797,,3,AI
798,1.0,1,Draw
799,1.0,3,Player
800,3.0,2,Player
801,3.0,3,Draw
802,2.0,1,Player
803,3.0,1,AI
804,2.0,3,AI
805,,2,AI
806,1.0,1,Draw
807,2.0,3,AI
808,1.0,3,Player
809,1.0,1,Draw
810,3.0,3,Draw
811,3.0,3,Draw
812,3.0,1,AI
813,3.0,1,AI
814,3.0,3,Draw
815,1.0,1,Draw
816,3.0,1,AI
817,3.0,1,AI
818,1.0,3,Player
819,1.0,1,Draw
820,1.0,1,Draw
821,3.0,2,Player
822,3.0,1,AI
823,1.0,3,Player
824,3.0,1,AI
825,3.0,3,Draw
826,2.0,1,Player
827,3.0,1,AI
828,2.0,1,Player
829,2.0,2,Draw
830,2.0,1,Player
831,2.0,3,AI
832,2.0,1,Player
833,2.0,1,Player
834,3.0,2,Player
835,1.0,2,AI
836,1.0,3,Player
837,2.0,1,Player
838,2.0,2,Draw
839,2.0,3,AI
840,1.0,3,Player
841,1.0,2,AI
842,3.0,3,Draw
843,2.0,2,Draw
844,2.0,3,AI
845,1.0,1,Draw
846,1.0,2,AI
847,3.0,1,AI
848,2.0,1,Player
849,2.0,2,Draw
850,2.0,3,AI
851,3.0,1,AI
852,2.0,3,AI
853,1.0,1,Draw
854,2.0,3,AI
855,2.0,3,AI
856,3.0,1,AI
857,1.0,3,Player
858,1.0,1,Draw
859,1.0,1,Draw
860,1.0,3,Player
861,1.0,1,Draw
862,2.0,1,Player
863,3.0,3,Draw
864,3.0,3,Draw
865,3.0,1,AI
866,1.0,3,Player
867,3.0,3,Draw
868,1.0,2,AI
869,2.0,2,Draw
870,3.0,3,Draw
871,2.0,1,Player
872,1.0,1,Draw
873,2.0,1,Player
874,2.0,1,Player
875,1.0,1,Draw
876,1.0,3,Player
877,2.0,3,AI
878,1.0,2,AI
879,1.0,1,Draw
880,3.0,3,Draw
881,2.0,1,Player
882,2.0,2,Draw
883,2.0,1,Player
884,2.0,1,Player
885,2.0,3,AI
886,2.0,3,AI
887,3.0,1,AI
888,2.0,3,AI
889,2.0,3,AI
890,1.0,1,Draw
891,2.0,3,AI
892,1.0,3,Player
893,3.0,2,Player
894,3.0,2,Player
895,3.0,3,Draw
896,2.0,1,Player
897,1.0,3,Player
898,1.0,1,Draw
899,2.0,1,Player
900,2.0,1,Player
901,3.0,3,Draw
902,2.0,3,AI
903,3.0,2,Player
904,3.0,3,Draw
905,2.0,1,Player
906,,1,AI
907,3.0,3,Draw
908,3.0,1,AI
909,1.0,3,Player
910,2.0,1,Player
911,2.0,3,AI
912,2.0,3,AI
913,3.0,1,AI
914,3.0,2,Player
915,3.0,1,AI
916,2.0,3,AI
917,2.0,2,Draw
918,3.0,2,Player
919,2.0,2,Draw
920,3.0,1,AI
921,2.0,3,AI
922,1.0,1,Draw
923,3.0,2,Player
924,3.0,3,Draw
925,3.0,2,Player
926,3.0,3,Draw
927,2.0,3,AI
928,3.0,1,AI
929,2.0,2,Draw
930,1.0,1,Draw
931,2.0,3,AI
932,3.0,1,AI
933,2.0,1,Player
934,3.0,1,AI
935,2.0,2,Draw
936,1.0,3,Player
937,2.0,3,AI
938,2.0,1,Player
939,3.0,2,Player
940,1.0,3,Player
941,1.0,3,Player
942,2.0,3,AI
943,3.0,1,AI
944,3.0,1,AI
945,3.0,1,AI
946,2.0,1,Player
947,3.0,3,Draw
948,3.0,3,Draw
949,2.0,1,Player
950,3.0,1,AI
951,,2,AI
952,1.0,3,Player
953,1.0,1,Draw
954,1.0,1,Draw
955,3.0,1,AI
956,3.0,1,AI
957,2.0,3,AI
958,2.0,1,Player
959,3.0,3,Draw
960,3.0,2,Player
961,3.0,1,AI
962,2.0,1,Player
963,2.0,2,Draw
964,3.0,3,Draw
965,3.0,3,Draw
966,2.0,2,Draw
967,2.0,2,Draw
968,2.0,3,AI
969,2.0,3,AI
970,3.0,1,AI
971,2.0,2,Draw
972,2.0,2,Draw
973,3.0,2,Player
974,2.0,2,Draw
975,2.0,3,AI
976,,1,AI
977,2.0,3,AI
978,1.0,1,Draw
979,2.0,3,AI
980,3.0,1,AI
981,3.0,3,Draw
982,2.0,1,Player
983,2.0,1,Player
984,2.0,3,AI
985,2.0,1,Player
986,1.0,1,Draw
987,3.0,1,AI
988,3.0,2,Player
989,2.0,1,Player
990,1.0,1,Draw
991,2.0,3,AI
992,1.0,2,AI
993,1.0,1,Draw
994,2.0,1,Player
995,2.0,1,Player
996,2.0,2,Draw
997,2.0,2,Draw
998,2.0,3,AI
999,,1,AI
1000,2.0,1,Player
1001,3.0,3,Draw
1002,2.0,1,Player
1003,1.0,3,Player
1004,2.0,3,AI
1005,2.0,3,AI
1006,2.0,1,Player
1007,2.0,2,Draw
1008,2.0,2,Draw
1009,2.0,1,Player
1010,3.0,3,Draw
1011,2.0,2,Draw
1012,2.0,1,Player
1013,2.0,3,AI
1014,1.0,1,Draw
1015,1.0,1,Draw
1016,1.0,1,Draw
1017,2.0,2,Draw
1018,3.0,3,Draw
1019,1.0,1,Draw
1020,2.0,3,AI
1021,3.0,2,Player
1022,1.0,3,Player
1023,3.0,1,AI
1024,3.0,1,AI
1025,3.0,3,Draw
1026,2.0,3,AI
1027,1.0,3,Player
1028,2.0,2,Draw
1029,1.0,1,Draw
1030,2.0,1,Player
1031,2.0,1,Player
1032,2.0,2,Draw
1033,1.0,3,Player
1034,3.0,1,AI
1035,2.0,1,Player
1036,3.0,2,Player
1037,3.0,1,AI
1038,2.0,3,AI
1039,1.0,3,Player
1040,1.0,2,AI
1041,1.0,3,Player
1042,1.0,1,Draw
1043,1.0,3,Player
1044,2.0,1,Player
1045,1.0,1,Draw
1046,3.0,1,AI
1047,3.0,3,Draw
1048,2.0,1,Player
1049,2.0,3,AI
1050,3.0,3,Draw
1051,1.0,1,Draw
1052,2.0,1,Player
1053,1.0,3,Player
1054,3.0,1,AI
1055,3.0,2,Player
1056,1.0,1,Draw
1057,3.0,1,AI
1058,1.0,3,Player
1059,3.0,3,Draw
1060,2.0,1,Player
1061,2.0,2,Draw
1062,3.0,1,AI
1063,2.0,1,Player
1064,3.0,2,Player
1065,2.0,1,Player
1066,1.0,3,Player
1067,1.0,3,Player
1068,2.0,1,Player
1069,1.0,1,Draw
1070,3.0,1,AI
1071,1.0,1,Draw
1072,2.0,3,AI
1073,3.0,1,AI
1074,3.0,3,Draw
1075,2.0,1,Player
1076,2.0,3,AI
1077,2.0,3,AI
1078,2.0,1,Player
1079,2.0,1,Player
1080,2.0,2,Draw
1081,3.0,3,Draw
1082,1.0,1,Draw
1083,1.0,1,Draw
1084,1.0,1,Draw
1085,1.0,1,Draw
1086,3.0,1,AI
1087,3.0,3,Draw
1088,3.0,1,AI
1089,2.0,3,AI
1090,2.0,3,AI
1091,1.0,2,AI
1092,1.0,3,Player
1093,2.0,2,Draw
1094,1.0,1,Draw
1095,3.0,1,AI
1096,1.0,1,Draw
1097,3.0,3,Draw
1098,3.0,2,Player
1099,3.0,2,Player
1100,1.0,1,Draw
1101,2.0,1,Player
1102,2.0,1,Player
1103,3.0,1,AI
1104,1.0,3,Player
1105,2.0,1,Player
